"date","home_team","away_team","home_score","away_score","tournament"
1,"Bulgaria","Finland",1,2,"UEFA Nations League"
1,"North Macedonia","Estonia",2,1,"UEFA Nations League"
1,"Georgia","Armenia",1,2,"UEFA Nations League"
1,"Slovenia","Kosovo",2,1,"UEFA Nations League"
1,"Moldova","Greece",0,2,"UEFA Nations League"
1,"Albania","Kazakhstan",3,1,"UEFA Nations League"
1,"Belarus","Lithuania",2,0,"UEFA Nations League"
1,"Guatemala","Honduras",2,1,"Friendly"
1,"Chad","Guinea",1,1,"African Cup of Nations qualification"
1,"Burundi","Mauritania",3,1,"African Cup of Nations qualification"
1,"Comoros","Kenya",2,1,"African Cup of Nations qualification"
1,"Guinea-Bissau","Senegal",0,1,"African Cup of Nations qualification"
1,"Equatorial Guinea","Libya",1,0,"African Cup of Nations qualification"
1,"Jordan","Syria",1,0,"Friendly"
1,"United Arab Emirates","Bahrain",1,3,"Friendly"
1,"Malawi","Burkina Faso",0,0,"African Cup of Nations qualification"
1,"South Sudan","Uganda",1,0,"African Cup of Nations qualification"
1,"Mozambique","Cameroon",0,2,"African Cup of Nations qualification"
1,"Zimbabwe","Algeria",2,2,"African Cup of Nations qualification"
1,"Botswana","Zambia",1,0,"African Cup of Nations qualification"
1,"Eswatini","Congo",0,0,"African Cup of Nations qualification"
1,"Croatia","Portugal",2,3,"UEFA Nations League"
1,"France","Sweden",4,2,"UEFA Nations League"
1,"Spain","Germany",6,0,"UEFA Nations League"
1,"Switzerland","Ukraine",3,0,"UEFA Nations League"
1,"Luxembourg","Azerbaijan",0,0,"UEFA Nations League"
1,"Montenegro","Cyprus",4,0,"UEFA Nations League"
1,"Bangladesh","Nepal",0,0,"Friendly"
1,"Japan","Mexico",0,2,"Friendly"
1,"Saudi Arabia","Jamaica",1,2,"Friendly"
1,"Uzbekistan","Iraq",1,2,"Friendly"
1,"Ecuador","Colombia",6,1,"FIFA World Cup qualification"
1,"Venezuela","Chile",2,1,"FIFA World Cup qualification"
1,"Peru","Argentina",0,2,"FIFA World Cup qualification"
1,"Paraguay","Bolivia",2,2,"FIFA World Cup qualification"
1,"Uruguay","Brazil",0,2,"FIFA World Cup qualification"
1,"Namibia","Mali",1,2,"African Cup of Nations qualification"
1,"Sudan","Ghana",1,0,"African Cup of Nations qualification"
1,"Central African Republic","Morocco",0,2,"African Cup of Nations qualification"
1,"Togo","Egypt",1,3,"African Cup of Nations qualification"
1,"Tanzania","Tunisia",1,1,"African Cup of Nations qualification"
1,"Ethiopia","Niger",3,0,"African Cup of Nations qualification"
1,"Sierra Leone","Nigeria",0,0,"African Cup of Nations qualification"
1,"Lesotho","Benin",0,0,"African Cup of Nations qualification"
1,"Bosnia and Herzegovina","Italy",0,2,"UEFA Nations League"
1,"Poland","Netherlands",1,2,"UEFA Nations League"
1,"England","Iceland",4,0,"UEFA Nations League"
1,"Belgium","Denmark",4,2,"UEFA Nations League"
1,"Northern Ireland","Romania",1,1,"UEFA Nations League"
1,"Austria","Norway",1,1,"UEFA Nations League"
1,"Czech Republic","Slovakia",2,0,"UEFA Nations League"
1,"Israel","Scotland",1,0,"UEFA Nations League"
1,"Hungary","Turkey",2,0,"UEFA Nations League"
1,"Serbia","Russia",5,0,"UEFA Nations League"
1,"Republic of Ireland","Bulgaria",0,0,"UEFA Nations League"
1,"Wales","Finland",3,1,"UEFA Nations League"
1,"Armenia","North Macedonia",1,0,"UEFA Nations League"
1,"Georgia","Estonia",0,0,"UEFA Nations League"
1,"Kosovo","Moldova",1,0,"UEFA Nations League"
1,"Greece","Slovenia",0,0,"UEFA Nations League"
1,"Albania","Belarus",3,2,"UEFA Nations League"
1,"Kazakhstan","Lithuania",1,2,"UEFA Nations League"
1,"Qatar","Bangladesh",5,0,"FIFA World Cup qualification"
2,"United Arab Emirates","Iraq",0,0,"Friendly"
2,"Kuwait","Palestine",0,1,"Friendly"
2,"Dominican Republic","Puerto Rico",0,1,"Friendly"
2,"Guatemala","Puerto Rico",1,0,"Friendly"
2,"Dominican Republic","Serbia",0,0,"Friendly"
2,"Iraq","Kuwait",2,1,"Friendly"
